team,atk_overall,atk_shooting,atk_pace,atk_dribbling,mid_overall,mid_passing,mid_physic,def_overall,def_defending,def_physic,gk_overall,top11_overall,squad_depth,avg_caps,atk_xG_per90,atk_xA_per90
Senegal,76.51147540983607,73.31639344262295,83.1360655737705,75.77213114754099,77.45018450184502,72.29704797047971,74.86162361623616,76.66666666666667,68.40522875816994,74.77941176470588,76.24561403508773,79.81818181818181,5.551515151515147,37.88461538461539,0.3728438453311585,0.11663518200480803
Japan,68.61764705882354,69.00882352941177,69.80588235294118,66.14411764705882,77.79828326180258,72.34763948497854,68.95708154506438,72.4074074074074,72.73148148148148,71.38888888888889,71.08450704225352,78.27272727272727,9.0060606060606,30.615384615384617,0.3832999436443696,0.11126237988238107
Switzerland,74.9618320610687,72.48664122137404,79.06488549618321,75.58778625954199,77.36363636363636,73.55032467532467,74.83441558441558,74.19594594594595,72.7195945945946,74.6233108108108,78.44444444444444,79.81818181818181,7.284848484848482,43.53846153846154,0.2597536788117787,0.11676834650758797
Netherlands,79.36396396396397,77.39279279279279,79.2954954954955,78.95675675675676,82.13719512195122,79.14634146341463,76.21493902439025,81.80857580398163,80.69525267993875,79.15773353751914,76.71304347826087,84.0,6.0,33.11538461538461,0.46658747332591205,0.14006902993085876
Portugal,80.6086956521739,78.11335403726709,81.68944099378882,81.79347826086956,84.77952755905511,83.6240157480315,74.12992125984252,80.72137931034483,78.13931034482759,78.56827586206897,80.76859504132231,85.27272727272727,6.539393939393932,44.61538461538461,,
South Africa,71.85066079295154,65.99911894273127,77.4,71.30748898678414,72.41274238227147,67.29916897506925,71.96675900277009,69.02335766423357,63.14160583941606,69.0992700729927,73.0,74.95454545454545,7.75454545454545,18.576923076923077,,
Curaçao,71.77256792287467,68.2287467134093,77.76599474145486,72.65556529360211,68.69456066945607,65.25313807531381,65.97698744769875,70.90812720848056,64.03886925795052,73.51236749116607,69.2135922330097,74.86363636363636,8.396969696969691,23.76923076923077,,
South Korea,75.95575221238938,75.26991150442478,79.32743362831859,72.70796460176992,73.50309789343247,69.93928128872366,68.03593556381661,69.36451612903225,62.11774193548387,71.36290322580645,71.89302325581396,76.54545454545455,8.145454545454541,36.84615384615385,,
Colombia,75.93598233995586,71.16777041942605,83.92273730684327,77.10816777041943,74.68403361344538,70.33445378151261,70.2873949579832,76.02639296187684,73.86510263929618,76.24486803519062,74.6875,79.0,6.666666666666671,40.07692307692308,,
Haiti,70.73217115689381,63.16006339144216,74.50713153724247,69.36133122028527,74.05405405405405,70.86486486486487,72.37837837837837,69.65273311897106,60.22508038585209,64.88263665594856,72.08333333333333,75.0,7.400000000000006,24.0,,
Iran,75.92810098792536,73.85620197585071,78.14379802414929,76.34248079034029,75.38805970149254,72.2587064676617,71.48258706467662,74.0,72.0,76.0,73.0,75.77272727272727,1.7727272727272663,44.92307692307692,,
Jordan,75.4171270718232,72.33701657458563,80.65745856353591,76.66298342541437,75.0,72.0,72.0,74.22455089820359,68.29491017964072,75.32634730538922,73.0,75.22727272727273,1.0939393939393938,40.88461538461539,,
